0x10000000 0x0a
0x10000001 0x00
0x10000002 0x00
0x10000003 0x00
0x10000004 0x14
0x10000005 0x00
0x10000006 0x00
0x10000007 0x00
0x10000008 0x1E
0x10000009 0x00
0x1000000a 0x00
0x1000000b 0x00
0x1000000c 0x28
0x1000000d 0x00
0x1000000e 0x00
0x1000000f 0x00
0x10000010 0x32
0x10000011 0x00
0x10000012 0x00
0x10000013 0x00
0x10000014 0x3C
0x10000015 0x00
0x10000016 0x00
0x10000017 0x00
0x10000018 0x46
0x10000019 0x00
0x1000001a 0x00
0x1000001b 0x00
0x1000001c 0x50
0x1000001d 0x00
0x1000001e 0x00
0x1000001f 0x00
0x10000020 0x5A
0x10000021 0x00
0x10000022 0x00
0x10000023 0x00
0x10000024 0x64
0x10000025 0x00
0x10000026 0x00
0x10000027 0x00
